"","x"
"1",0
"2",0
"3",1
"4",0
"5",0
"6",1
"7",1
"8",0
"9",0
"10",0
"11",1
"12",0
"13",0
"14",0
"15",1
"16",0
"17",1
"18",0
"19",0
"20",1
"21",1
"22",0
"23",1
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",1
"33",0
"34",1
"35",0
"36",0
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",0
"44",0
"45",0
"46",0
"47",0
"48",1
"49",1
"50",0
"51",1
"52",0
"53",0
"54",1
"55",0
"56",0
"57",1
"58",1
"59",0
"60",0
"61",0
"62",0
"63",0
"64",1
"65",0
"66",1
"67",1
"68",0
"69",1
"70",1
"71",0
"72",1
"73",0
"74",1
"75",1
"76",0
"77",1
"78",0
"79",1
"80",1
"81",0
"82",1
"83",0
"84",0
"85",1
"86",0
"87",1
"88",1
"89",0
"90",0
"91",0
"92",0
"93",1
"94",1
"95",0
"96",0
"97",0
"98",1
"99",0
"100",1
"101",0
"102",1
"103",0
"104",0
"105",1
"106",0
"107",0
"108",0
"109",1
"110",0
"111",1
"112",0
"113",1
"114",0
"115",1
"116",1
"117",0
"118",0
"119",0
"120",1
"121",0
"122",1
"123",0
"124",0
"125",1
"126",1
"127",0
"128",0
"129",1
"130",1
"131",1
"132",1
"133",0
"134",1
"135",0
"136",1
"137",1
"138",1
"139",1
"140",0
"141",1
"142",0
"143",0
"144",0
"145",0
"146",1
"147",1
"148",1
"149",1
"150",0
"151",1
"152",1
"153",1
"154",0
"155",0
"156",0
"157",1
"158",1
"159",1
"160",1
"161",0
"162",0
"163",0
"164",1
"165",0
"166",0
"167",0
"168",1
"169",0
"170",1
"171",1
