"","x"
"1",6.1
"2",9.3
"3",9.3
"4",6.7
"5",6.6
"6",8.4
"7",9.7
"8",9.7
"9",7.8
"10",6.6
"11",8.7
"12",9.2
"13",9.4
"14",8.1
"15",10
"16",9.1
"17",9.8
"18",9.3
"19",8
"20",9
"21",9.8
"22",9.1
"23",8.9
"24",8.2
"25",8.3
"26",8.8
"27",9.4
"28",9
"29",8.8
"30",8.1
"31",9.7
"32",9.1
"33",9.2
"34",8.1
"35",8.5
"36",9.2
"37",9.6
"38",9.7
"39",9.1
"40",8.9
"41",8.6
"42",9.6
"43",7.3
"44",9.7
"45",9.8
"46",10
"47",7.5
"48",9.5
"49",9.9
"50",8.2
"51",9.7
"52",8.9
"53",8.2
"54",9
"55",9.6
"56",9.3
"57",8.5
"58",9
"59",9.8
"60",9.1
"61",9
"62",9.5
"63",9.2
"64",8.4
"65",9.1
"66",8.2
"67",9.3
"68",9.7
"69",8.9
"70",9
"71",9.8
"72",9.4
"73",8.6
"74",8.5
"75",9.6
"76",7.6
"77",7.3
"78",9.1
"79",8.3
"80",8.7
"81",9.3
"82",7.2
"83",8.4
"84",9
"85",8
"86",9.4
"87",9.2
"88",8.5
"89",8.1
"90",8.3
"91",8.4
"92",9.5
"93",9.2
"94",9.2
"95",8.5
"96",8.5
"97",9
"98",9.4
"99",9.3
"100",7.4
"101",8.7
"102",8.8
"103",9.3
"104",9.5
"105",8.8
"106",8.6
"107",9.4
"108",9.6
"109",9.6
"110",9
"111",9.3
"112",9.3
"113",9.3
"114",8.3
"115",9.3
"116",9.6
"117",9
"118",9
"119",9.3
"120",9
"121",9.6
"122",9.4
"123",9.5
"124",8.8
"125",8.2
"126",9.4
"127",9.7
"128",8.4
"129",8.3
"130",9.8
"131",7.6
"132",9.2
"133",9.4
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",10
"146",9.4
"147",9.6
"148",9.5
"149",9.2
"150",9.4
"151",9.4
"152",9.6
"153",9.7
"154",9.7
"155",8.9
"156",9.7
"157",9.3
"158",9.7
"159",8.9
"160",9.4
"161",9.1
"162",9.4
"163",9.2
"164",8.9
"165",9.3
"166",9.2
"167",8.7
"168",9.8
"169",8.8
"170",9.9
"171",7.6
