"","ControlEsforzadocondistractibilidad","AfectoNegativo","ExtraversinSurgency"
"1",4.053737374,4.183076923,4.216880342
"3",4.398974359,4.825641026,4.5
"5",4.455384615,4.274358974,5.153846154
"6",4.167777778,3.918601399,4.434343434
"8",4.287692308,4.551282051,4.641025641
"11",5.117094017,3.996153846,4.384615385
"12",4.744529915,4.294871795,5.14957265
"13",4.376495726,4.43974359,4.705128205
"14",4.252564103,4.162820513,4.295940171
"15",4.664452214,3.876969697,4.803613054
"17",4.335299145,4.348601399,4.846153846
"18",4.563294483,4.66993007,5.012820513
"19",5.472698413,4.322983683,4.375365375
"20",4.683247863,4.776923077,4.705128205
"22",5.207179487,3.770512821,4.494172494
"23",4.467948718,4.066666667,4.628205128
"24",4.802051282,4.571794872,4.487179487
"25",5.043333333,4.175641026,4.5
"26",4.803589744,4.347435897,4.414529915
"28",4.736923077,3.71025641,4.54972805
"29",4.454848485,4.12965035,4.858974359
"30",4.949487179,4.230769231,4.217948718
"34",4.677692308,3.921328671,4.80982906
"35",3.884700855,4.180769231,4.679487179
"36",4.247435897,4.116666667,4.641025641
"37",4.768461538,4.746153846,4.545940171
"38",4.665213675,3.896270396,4.525641026
"39",4.582905983,4.70967366,5.08974359
"40",5.353931624,4.079487179,4.256410256
"41",4.118119658,4.682051282,4.759615385
"42",5.399059829,4.475641026,4.461538462
"43",4.797863248,4.269230769,4.333333333
"44",4.680598291,4.870512821,4.807692308
"45",3.949059829,4.53974359,4.402777778
"47",4.305982906,4.408041958,4.664529915
"48",5.044615385,4.331468531,4.228632479
"50",4.839059829,4.347435897,4.256410256
"51",4.989230769,4.529370629,4.756313131
"52",4.372836053,4.114102564,4.353846154
"53",5.074125874,3.841072261,4.743298368
"54",4.365299145,4.186130536,4.871794872
"55",4.928888889,4.946153846,4.43482906
"56",3.547777778,4.432634033,4.982808858
"57",4.460512821,3.926923077,5.043803419
"58",5.493504274,4.248251748,5.012820513
"59",5.227451437,4.126689977,4.038461538
"60",4.243589744,4.657692308,4.769230769
"61",5.027272727,4.417878788,5.000757576
"62",5.541818182,4.31,4.730609668
"63",4.448376068,4.342307692,4.794871795
"64",4.968686869,4.347668998,4.202991453
"66",5.005470085,4.193589744,4.653846154
"67",4.05525641,4.079254079,4.136363636
"68",4.35030303,4.091616162,4.034615725
"69",4.616923077,4.825641026,4.854700855
"70",4.591196581,4.658974359,4.243589744
"71",4.081111111,5.212820513,4.776709402
"72",5.065687646,3.882750583,4.487179487
"73",5.344848485,4.209090909,4.351495726
"74",4.925470085,4.046153846,4.256410256
"75",4.43996115,4.368298368,4.717948718
"76",4.651880342,4.212820513,4.450854701
"77",4.455384615,4.43974359,4.782051282
"78",4.143076923,3.874358974,5.055555556
"79",4.673504274,4.265384615,4.243589744
"80",4.341010101,4.279487179,4.435897436
"81",4.666495726,3.232051282,4.512820513
"82",5.648515929,3.63974359,4.948717949
"83",4.987264957,3.724358974,4.538461538
"84",4.605811966,4.201282051,4.807692308
"85",5.012478632,3.93974359,5.128205128
"86",5.538632479,4.737179487,4.230769231
"88",4.739401709,3.698717949,3.679487179
"90",4.262222222,3.937179487,4.013888889
"91",5.615811966,3.482051282,5.064102564
"92",4.092478632,3.771794872,4.192307692
"93",4.895470085,4.258974359,4.692307692
"95",4.346495726,3.9004662,5.166666667
"96",4.862820513,4,4.525641026
"97",4.615726496,4.815384615,4.564102564
"98",4.481111111,3.899134199,4.522792023
"100",4.956666667,4.370512821,5.179487179
"101",3.773504274,4.164102564,4.820512821
"102",4.203333333,4.458333333,5.657245532
"104",5.778803419,3.826340326,4.602564103
"105",4.137094017,4.580769231,4.487179487
"106",6.74,3.698717949,5.141025641
"107",4.852991453,3.992307692,4.69017094
"108",5.035064935,4.425,3.794444444
"109",3.955555556,4.801864802,4.782051282
"110",3.844599845,4.037296037,5.038461538
"111",4.995470085,4.837179487,4.166666667
"112",3.977692308,4.469230769,4.451923077
"113",4.951515152,4.146270396,5.064102564
"114",5.096449106,4.140151515,4.173018648
"116",4.054188034,4.806410256,4.794871795
"117",5.097350427,4.765384615,5.205128205
"118",4.756495726,3.7,4.371794872
"119",4.617179487,4.459440559,4.643939394
"120",4.511196581,3.897435897,4.179487179
"121",4.788974359,4.601282051,4.974358974
"122",4.344273504,4.052331002,4.425213675
"123",4.305299145,4.284615385,4.58974359
"124",4.988461538,4.564102564,4.179487179
"125",4.505982906,4.024358974,5.333333333
"126",5.015641026,4.584615385,4.221833722
"127",4.468547009,4.541025641,4.58974359
"128",4.533760684,4.658974359,4.320512821
"129",5.087264957,4.506410256,4.5
"132",4.671008991,4.166666667,4.282828283
"133",5.113504274,4.65,4.717948718
"134",4.758119658,4.327039627,4.418414918
"135",5.055850816,4.711538462,4.498931624
"136",4.664265734,4.32027972,4.409188034
"137",4.759871795,4.773543124,4.676282051
"138",4.453613054,4.874358974,4.538461538
"139",5.297094017,4.280769231,4.361888112
"141",5.063675214,4.607692308,5.123057498
"142",4.98965812,4.634615385,4.474358974
"143",4.266969697,4.165384615,4.936965812
"144",4.444017094,4.842307692,4.692307692
"146",5.258119658,4.616783217,5.186965812
"147",4.660598291,4.269230769,4.427350427
"148",4.935128205,4.561538462,4.611111111
"149",4.711266511,4.832867133,4.696794872
"151",4.485897436,4.741958042,4.555652681
"152",4.403931624,4.244055944,4.313034188
"153",3.97044289,4.659440559,5.223290598
"154",5.52982906,3.921794872,4.038461538
"155",4.627521368,4.421794872,4.461538462
"156",5.077094017,4.753846154,4.858974359
"157",4.633675214,4.492307692,4.5
"158",5.022393162,4.839277389,4.581196581
"159",4.232649573,4.276923077,5.307692308
"160",5.424615385,4.121794872,4.987179487
"163",4.693931624,3.727972028,5.169871795
"164",5.356666667,4.612820513,3.948717949
"165",4.964444444,3.847202797,4.858974359
"166",4.772136752,4.502564103,4.512820513
"167",4.361623932,4.635897436,4.831196581
"168",5.386153846,4.228205128,4.782051282
"169",4.995299145,3.621538462,4.176282051
"171",6.001025641,3.501934732,4.033119658
"172",5.716324786,3.157226107,3.977564103
"181",5.264230769,3.352564103,4.704059829
"182",4.022307692,4.338461538,4.256410256
"183",5.560128205,4.121212121,3.927350427
"184",4.999615385,4.73974359,4.474358974
"186",4.898310023,4.311538462,4.282051282
"187",4.409615385,4.467948718,4.602564103
"188",4.848333333,5.120512821,5.048076923
"189",4.675769231,4.826923077,4.794871795
"190",4.872735043,4.667948718,4.371794872
"191",4.965512821,4.454778555,4.509615385
"192",4.224871795,4.272261072,4.025641026
"193",5.435897436,4.8,4.460470085
"194",4.803717949,4.452564103,4.435897436
"195",5.966386946,3.119230769,4.50534188
"196",4.906153846,4.363473193,4.365384615
"197",5.044230769,3.777039627,4.286713287
"198",4.812878788,3.306410256,4.896367521
"199",4.646538462,4.101282051,4.564102564
"200",3.931025641,4.306410256,4.679487179
"201",4.619358974,4.811538462,4.461538462
"202",4.474615385,4.129487179,4.948717949
"203",4.762564103,4.476923077,4.730769231
"204",4.220734266,4.635897436,5.358974359
"205",5.111526807,4.295477855,4.594017094
"209",4.925213675,3.961538462,4.939102564
"211",5.448888889,4.203379953,3.90491453
"212",4.072905983,4.376923077,4.384615385
