"","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad"
"1",3.92,4.23,4.69,4.08,4.46,3.92,4.4,3.4,4.5,4.46,4.15,3.33,4,4.09,4.44,4.4
"3",4.08,4.23,4.46,4.77,5.38,4.08,5,4.67,5,4.69,4.77,4,4.46,5,4.33,4.2
"5",5.46,5.85,5.69,5.23,6.15,2.54,4.17,3.67,4,4.69,4.85,3.77,5.31,5,4,4.2
"6",4.58,4.18,5,4.09,5.08,3.67,2.89,4.11,4.45,4.6,3.54,4.42,4.8,4,3.22,4.4
"8",5.15,4.69,4.77,4.85,5,3.38,4.58,4.58,4.67,4.46,4.46,4.31,5.23,4.5,4,3.4
"11",4.08,6,3.31,3.92,5.46,3.54,3.58,3.17,4,4.08,5.15,5.62,5.69,5.5,4.78,4
"12",4.92,6.15,5.54,4.62,6,3.67,3.92,3.75,4.5,4.15,5.15,4.54,5.92,5.75,4.11,3.4
"13",4.69,4.92,5.46,4.62,5.15,3.38,4.25,4.67,4.67,4.23,4.38,3.92,5.15,4.92,3.89,4
"14",4.15,4.08,4.62,4.54,4.77,3.62,3.67,4,4.92,4.08,4.15,4.15,4.69,4.08,4.33,4
"15",5.5,5.69,4.69,4.09,5.38,3.46,4.4,3.5,3.91,2.91,4.67,4.25,5.77,5.64,3.67,4
"17",5.85,5.08,4.62,5.31,6.08,2.15,4.45,4.92,3.83,3.15,5.38,4.62,5,5.08,3.78,3.2
"18",4.77,5.46,4.69,4.38,6.15,4.62,4.27,4.58,5.17,5.08,4.25,4.54,4.62,5.82,4.44,3.4
"19",4.69,4.43,4.73,4.22,6.18,2,4.45,3.91,3.7,3.38,6.17,5.29,6.1,5.4,4.78,5.8
"20",4.92,5.38,4.92,3.92,5.85,3.23,5.17,4.5,4.58,4.38,5.25,4.85,5.69,5.5,3.78,3.6
"22",5.27,5.46,3.92,4.31,5.31,2.69,4.33,3.17,3.58,3.08,4.69,5.54,5.23,5.33,5.33,4.6
"23",4.85,5.08,4.85,4.92,4.77,3.31,3.75,4,4.58,3.77,4.23,4.08,4.85,4.42,5,4
